"","Name","Tm","Week","PassCmp","PassAtt","PassYds","PassTD","Int","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"2","Cam Newton","CAR",2,24,40,353,4,1,6,37,0,37.4,37.4,2016
"3","Matt Ryan","ATL",2,26,34,396,3,1,0,0,0,31.8,31.8,2016
"4","Ryan Tannehill","MIA",2,32,45,389,2,2,6,35,0,31,31,2016
"5","Tyrod Taylor","BUF",2,18,30,297,3,1,2,25,0,29.4,29.4,2016
"6","Philip Rivers","SD",2,17,24,220,4,0,1,10,0,28,28,2016
"7","Derek Carr","OAK",2,34,45,299,3,0,2,10,0,28,28,2016
"8","Blake Bortles","JAC",2,31,50,329,2,2,3,34,0,27.9,27.9,2016
"9","Carson Palmer","ARI",2,18,31,308,3,0,0,0,0,27.4,27.4,2016
"10","Blaine Gabbert","SF",2,17,36,243,2,2,3,10,1,27.2,27.2,2016
"11","Ben Roethlisberger","PIT",2,19,37,259,3,2,1,14,0,26.4,26.4,2016
"12","Ryan Fitzpatrick","NYJ",2,24,34,374,1,0,5,21,0,24.8,24.8,2016
"13","Kirk Cousins","WAS",2,28,46,364,1,1,2,20,0,24.2,24.2,2016
"14","Jimmy Garoppolo","NE",2,18,27,234,3,0,0,0,0,23.7,23.7,2016
"15","Aaron Rodgers","GB",2,20,36,213,1,1,3,29,1,23.6,23.6,2016
"16","Joe Flacco","BAL",2,25,45,302,2,2,1,1,0,23.2,23.2,2016
"17","Andy Dalton","CIN",2,31,54,366,1,0,2,7,0,23,23,2016
"18","Sam Bradford","MIN",2,22,31,286,2,0,1,-3,0,22,22,2016
"19","Dak Prescott","DAL",2,22,30,292,0,0,1,6,1,21.2,21.2,2016
"20","Marcus Mariota","TEN",2,25,33,238,2,1,2,11,0,21,21,2016
"21","Josh McCown","CLE",2,20,33,260,2,2,2,0,0,21,21,2016
"22","Matthew Stafford","DET",2,22,40,260,1,1,2,31,0,20.1,20.1,2016
"23","Eli Manning","NYG",2,32,41,368,0,0,4,-4,0,18,18,2016
"24","Drew Brees","NO",2,29,44,263,1,0,0,0,0,17.2,17.2,2016
"25","Brock Osweiler","HOU",2,19,33,268,1,2,2,-3,0,17.1,17.1,2016
"26","Jameis Winston","TB",2,27,52,243,1,4,3,9,0,17.1,17.1,2016
"27","Andrew Luck","IND",2,21,40,197,1,1,3,22,0,16.1,16.1,2016
"28","Carson Wentz","PHI",2,21,34,190,1,0,6,10,0,14.5,14.5,2016
"29","Russell Wilson","SEA",2,22,35,254,0,0,5,14,0,14.1,14.1,2016
"30","Trevor Siemian","DEN",2,22,33,266,0,1,1,7,0,14,14,2016
"31","Case Keenum","LAR",2,18,30,239,0,0,3,5,0,12.5,12.5,2016
"32","Alex Smith","KC",2,20,37,186,0,0,2,2,0,9.5,9.5,2016
"33","Jay Cutler","CHI",2,12,17,157,0,1,0,0,0,7.9,7.9,2016
"34","Jacoby Brissett","NE",2,6,9,92,0,0,4,12,0,5.8,5.8,2016
"35","Brian Hoyer","CHI",2,9,12,78,0,0,0,0,0,3.9,3.9,2016
"36","EJ Manuel","BUF",2,1,1,10,0,0,2,2,0,0.7,0.7,2016
"37","Drew Stanton","ARI",2,1,4,11,0,0,0,0,0,0.6,0.6,2016
"38","Matt Cassel","TEN",2,0,0,0,0,0,1,-1,0,-0.1,-0.1,2016
"39","Kellen Clemens","SD",2,0,1,0,0,0,2,-1,0,-0.1,-0.1,2016
