"","Name","Tm","Week","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"2","Greg Olsen","CAR",2,8,5,122,1,18.2,18.2,2016
"3","Martellus Bennett","NE",2,6,5,114,1,17.4,17.4,2016
"4","Delanie Walker","TEN",2,6,6,83,1,14.3,14.3,2016
"5","Vance McDonald","SF",2,2,1,75,1,13.5,13.5,2016
"6","Jacob Tamme","ATL",2,8,5,75,1,13.5,13.5,2016
"7","Clive Walford","OAK",2,7,6,50,1,11,11,2016
"8","Trey Burton","PHI",2,7,5,49,1,10.9,10.9,2016
"9","Jordan Cameron","MIA",2,7,5,49,1,10.9,10.9,2016
"10","Dennis Pitta","BAL",2,12,9,102,0,10.2,10.2,2016
"11","Kyle Rudolph","MIN",2,8,3,31,1,9.1,9.1,2016
"12","Jesse James","PIT",2,5,3,29,1,8.9,8.9,2016
"13","Xavier Grimble","PIT",2,4,2,26,1,8.6,8.6,2016
"14","Austin Hooper","ATL",2,3,3,84,0,8.4,8.4,2016
"15","Marcedes Lewis","JAC",2,3,2,17,1,7.7,7.7,2016
"16","Antonio Gates","SD",2,5,3,15,1,7.5,7.5,2016
"17","Julius Thomas","JAC",2,7,4,71,0,7.1,7.1,2016
"18","Jordan Reed","WAS",2,7,5,70,0,7,7,2016
"19","Lance Kendricks","LAR",2,6,4,61,0,6.1,6.1,2016
"20","Eric Ebron","DET",2,7,4,53,0,5.3,5.3,2016
"21","Vernon Davis","WAS",2,5,5,51,0,5.1,5.1,2016
"22","Jason Witten","DAL",2,4,3,51,0,5.1,5.1,2016
"23","Virgil Green","DEN",2,3,3,46,0,4.6,4.6,2016
"24","Jimmy Graham","SEA",2,4,3,42,0,4.2,4.2,2016
"25","Gary Barnidge","CLE",2,5,4,37,0,3.7,3.7,2016
"26","Jack Doyle","IND",2,5,4,37,0,3.7,3.7,2016
"27","Tyler Kroft","CIN",2,4,3,35,0,3.5,3.5,2016
"28","Travis Kelce","KC",2,7,5,34,0,3.4,3.4,2016
"29","Zach Miller","CHI",2,5,4,33,0,3.3,3.3,2016
"30","Jared Cook","GB",2,6,4,31,0,3.1,3.1,2016
"31","Darren Fells","ARI",2,5,4,31,0,3.1,3.1,2016
"32","Coby Fleener","NO",2,8,2,29,0,2.9,2.9,2016
"33","Geoff Swaim","DAL",2,2,2,29,0,2.9,2.9,2016
"34","Charles Clay","BUF",2,7,5,27,0,2.7,2.7,2016
"35","Dwayne Allen","IND",2,4,2,25,0,2.5,2.5,2016
"36","Richard Rodgers","GB",2,2,2,25,0,2.5,2.5,2016
"37","Larry Donnell","NYG",2,5,4,24,0,2.4,2.4,2016
"38","Lee Smith","OAK",2,4,4,24,0,2.4,2.4,2016
"39","Crockett Gillmore","BAL",2,3,1,22,0,2.2,2.2,2016
"40","Dion Sims","MIA",2,1,1,21,0,2.1,2.1,2016
"41","Levine Toilolo","ATL",2,2,2,21,0,2.1,2.1,2016
"42","Cameron Brate","TB",2,4,3,16,0,1.6,1.6,2016
"43","Niles Paul","WAS",2,1,1,16,0,1.6,1.6,2016
"44","Stephen Anderson","HOU",2,3,2,15,0,1.5,1.5,2016
"45","Austin SeferianJenkins","TB",2,2,2,14,0,1.4,1.4,2016
"46","Garrett Celek","SF",2,2,1,12,0,1.2,1.2,2016
"47","Will Tye","NYG",2,3,2,10,0,1,1,2016
"48","CJ Uzomah","CIN",2,8,3,9,0,0.9,0.9,2016
"49","Phillip Supernaw","TEN",2,1,1,7,0,0.7,0.7,2016
"50","Blake Bell","SF",2,2,1,6,0,0.6,0.6,2016
"51","Luke Willson","SEA",2,1,1,6,0,0.6,0.6,2016
"210","Ryan Griffin","HOU",2,2,1,5,0,0.5,0.5,2016
"310","David Johnson","PIT",2,1,1,5,0,0.5,0.5,2016
"410","Anthony Fasano","TEN",2,3,1,1,0,0.1,0.1,2016
"52","CJ Fiedorowicz","HOU",2,1,1,1,0,0.1,0.1,2016
"61","Brandon Bostick","NYJ",2,1,0,0,0,0,0,2016
"71","Brent Celek","PHI",2,1,0,0,0,0,0,2016
"81","Kellen Davis","NYJ",2,1,0,0,0,0,0,2016
"91","Ed Dickson","CAR",2,1,0,0,0,0,0,2016
"101","Jermaine Gresham","ARI",2,1,0,0,0,0,0,2016
"111","Demetrius Harris","KC",2,1,0,0,0,0,0,2016
"121","Troy Niklas","ARI",2,1,0,0,0,0,0,2016
