PlayerID,Name,Position,DOB,College,DraftTeam,DraftRound,DraftPick,DraftYear,Status,ActTeam
,Jacoby Glenn,DB,1993-08-04,Central Florida,,,,,IAV,6
,Julius Warmsley,DL,1990-05-16,Tulane,,,,,IAV,18
,Michael Hunter,DB,1993-04-19,Oklahoma State,,,,,IAV,22
,Al-Hajj Shabazz,DB,1992-08-02,West Chester,,,,,ACT,26
,Deon King,LB,1993-07-02,Norfolk State,,,,,ACT,14
,Taurean Nixon,DB,1991-07-02,Tulane,,,,,ACT,10
,Ryan Russell,DL,1992-01-17,Purdue,,,,,ACT,30
,Carl Bradford,LB,1992-08-15,Arizona State,,,,,ACT,28
,Terrence Magee,RB,1993-03-16,LSU,,,,,ACT,29
,Connor Hamlett,TE,1992-04-12,Oregon State,,,,,IAV,8
,Troymaine Pope,RB,1993-11-29,Jacksonville State,,,,,RES,29
,George Farmer,RB,1993-07-04,USC,,,,,IAV,29
,Julian Howsare,RB,1992-09-11,Clarion,,,,,IAV,29
,Ufomba Kamalu,DL,1992-11-02,Miami,,,,,ACT,13
,James Cowser,DL,1990-09-13,Southern Utah,,,,,ACT,24
,Branden Jackson,DL,1992-11-11,Texas Tech,,,,,ACT,24
,Trovon Reed,DB,1990-12-30,Auburn,,,,,ACT,27
,Freddie Bishop,LB,1990-02-25,Western Michigan,,,,,ACT,23
,Doug Middleton,DB,1993-09-25,Appalachian State,,,,,ACT,23
,Javien Elliott,DB,1993-07-18,Florida State,,,,,ACT,30
,Morgan Fox,DL,1994-09-12,Colorado State,,,,,ACT,17
,Mehdi Abdesmad,DL,1991-09-28,Boston College,,,,,RES,31
,Wendall Williams,WR,1990-09-18,Cumberland College,,,,,ACT,13
,Lynden Trail,LB,1991-03-19,Norfolk State,,,,,ACT,32
,Kalan Reed,DB,1993-12-29,Southern Mississippi,,,,,ACT,31
,Ronald Martin,DB,1993-02-26,LSU,,,,,ACT,23
,Blake Countess,DB,1993-08-08,Auburn,,,,,ACT,17
,Kalif Raymond,WR,1994-08-08,Holy Cross,,,,,ACT,10
,Johnny Maxey,DL,1993-10-19,Mars Hill,,,,,ACT,26
,Denzel Rice,DB,1993-03-31,Coastal Carolina,,,,,ACT,13
,Antwaun Woods,DL,1993-01-03,USC,,,,,ACT,31
,Brandon Wilds,RB,1993-07-22,South Carolina,,,,,ACT,23
,Toby Johnson,DL,1991-09-01,Georgia,,,,,ACT,19
,Kyle Peko,DL,1993-07-23,Oregon State,,,,,ACT,10
,T.J. Jones,WR,1992-07-19,Notre Dame,,,,,ACT,11
,Shane Wynn,WR,1992-11-15,Indiana,,,,,ACT,15
,Paul Turner,WR,1993-05-10,Louisiana Tech,,,,,ACT,25
,Alex Ellis,TE,1993-02-10,Tennessee,,,,,ACT,15
,Byron Marshall,WR,1994-02-13,Oregon,,,,,ACT,25
,Brandon Burks,RB,1993-11-01,Troy,,,,,ACT,23
,Bronson Hill,RB,1993-01-02,Eastern Michigan,,,,,ACT,15
,Isaac Fruechte,WR,1991-03-07,Minnesota,,,,,ACT,19
,Terrell Watson,RB,1993-08-22,Azusa Pacific,,,,,ACT,25
,DeAndre Smelter,WR,1991-12-03,Georgia Tech,,,,,ACT,28
,Paul McRoberts,WR,1992-11-15,Southeast Missouri State,,,,,ACT,17
,Joe Kerridge,RB,1992-09-17,Michigan,,,,,ACT,12
,Michael Jordan,DB,1992-10-21,Missouri Western State,,,,,ACT,17
,Chris Milton,DB,1992-09-15,Georgia Tech,,,,,ACT,14
,DeMarcus Ayers,WR,1994-07-07,Houston,,,,,ACT,26
,Henry Krieger-Coble,TE,1992-06-12,Iowa,,,,,ACT,10
,J.D. McKissic,RB,1993-08-15,Arkansas State,,,,,ACT,29
